FIPS_code,State,Area_name,Unemployment_rate_2021
1001,AL,Autauga County,2.8
1003,AL,Baldwin County,3
1005,AL,Barbour County,5.7
1007,AL,Bibb County,3.5
1009,AL,Blount County,2.4
1011,AL,Bullock County,4
1013,AL,Butler County,5.3
1015,AL,Calhoun County,4.1
1017,AL,Chambers County,3.7
1019,AL,Cherokee County,2.5
1021,AL,Chilton County,2.9
1023,AL,Choctaw County,4.4
1025,AL,Clarke County,6
1027,AL,Clay County,2.7
1029,AL,Cleburne County,2.6
1031,AL,Coffee County,2.8
1033,AL,Colbert County,4
1035,AL,Conecuh County,4.8
1037,AL,Coosa County,3.1
1039,AL,Covington County,3
1041,AL,Crenshaw County,3.3
1043,AL,Cullman County,2.4
1045,AL,Dale County,3.1
1047,AL,Dallas County,7.4
1049,AL,DeKalb County,2.5
1051,AL,Elmore County,2.7
1053,AL,Escambia County,4.1
1055,AL,Etowah County,4.1
1057,AL,Fayette County,3.1
1059,AL,Franklin County,2.5
1061,AL,Geneva County,2.8
1063,AL,Greene County,6.9
1065,AL,Hale County,5.7
1067,AL,Henry County,3.2
1069,AL,Houston County,3.4
1071,AL,Jackson County,2.9
1073,AL,Jefferson County,3.6
1075,AL,Lamar County,3
1077,AL,Lauderdale County,3.2
1079,AL,Lawrence County,2.9
1081,AL,Lee County,2.8
1083,AL,Limestone County,2.5
1085,AL,Lowndes County,9.2
1087,AL,Macon County,6
1089,AL,Madison County,2.7
1091,AL,Marengo County,4.2
1093,AL,Marion County,2.8
1095,AL,Marshall County,2.4
1097,AL,Mobile County,4.7
1099,AL,Monroe County,5.6
1101,AL,Montgomery County,4.9
1103,AL,Morgan County,2.6
1105,AL,Perry County,8.3
1107,AL,Pickens County,4.1
1109,AL,Pike County,3.2
1111,AL,Randolph County,2.7
1113,AL,Russell County,3.1
1115,AL,St. Clair County,2.6
1117,AL,Shelby County,2.1
1119,AL,Sumter County,4.5
1121,AL,Talladega County,4.1
1123,AL,Tallapoosa County,4
1125,AL,Tuscaloosa County,3.6
1127,AL,Walker County,3.6
1129,AL,Washington County,4.7
1131,AL,Wilcox County,11
1133,AL,Winston County,2.8
